,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
3514,MERCOM INC,D," 60,625",D,D
8659,COMPAS INC,D," 106,537",D,D
,,,,D,D
4571,WEST WARD PHARMACEUTICAL COR,D," 82,948",D,D
,,,,D,D
7382,LANGAN ENGRG & ENVIROMENTAL,D," 68,000",D,D
7787,PROVENIR INC,D," 60,000",D,D
2721,FISERV INVESTMENT SOLUTIONS,D," 95,937",D,D
4604,ERESEARCH TECHNOLOGY INC,D," 88,333",D,D
8660,CYTEC INDUSTRIES INC,D," 83,558",D,D
,,,,D,D
,,,,D,D
0770,ANS CONSULTANTS INC,D," 64,930",D,D
,,,,D,D
2698,HILLMANN DIBERNARDO & ASSOC,D," 40,300",D,D
2613,LUXOFT USA INC,D," 85,667",D,D
,,,,D,D
2028,TRADE LINES INC,D," 58,492",D,D
,,,,D,D
9667,INTL UN AGAINST TUBERCULOSIS,D," 105,000",D,D
9670,PRIME REHABILITATION SERVICE,D," 71,649",D,D
,,,,D,D
8389,CONTINENTAL AUTO PARTS,D," 29,829",D,D
2404,CYBERVISION INC,D," 63,347",D,D
,,,,D,D
6257,INTERNATIONAL INFO TECH TEAM,D," 58,333",D,D
,,,,D,D
6911,MILES TECHNOLOGIES,D," 52,833",D,D
,,,,D,D
3949,CG VAK SOFTWARE USA INC,D," 64,871",D,D
,,,,D,D
7479,KINTETSU GLOBAL I T INC,D," 71,537",D,D
0556,BLUESOFT SOLUTIONS LLC,D," 60,500",D,D
3698,NORCAPCO INTEGRATED SOLUTION,D," 116,900",D,D
2884,SUM TECH INC,D," 105,013",D,D
5964,AGFA CORPORATION,D," 68,717",D,D
,,,,D,D
8736,ZTE USA INC,D," 64,022",D,D
,,,,D,D
0233,LOGEXSOFT INC,D," 70,000",D,D
3719,FAITH GROUP COMPANY,D," 53,544",D,D
,,,,D,D
4064,ZT GROUP INTL INC,D," 83,333",D,D
,,,,D,D
2050,ACON LABORATORIES INC,D," 64,667",D,D
,,,,D,D
6380,STG INC,D," 100,144",D,D
5451,THE MARKETING ARM INC,D," 93,667",D,D
6834,ADAPTIK CORPORATION,D," 71,048",D,D
9840,ICIMS INC,D," 105,833",D,D
,,,,D,D
4999,QUALITREE INC,D," 57,500",D,D
,,,,D,D
2540,SKANSKA USA BUILDING INC,D," 91,549",D,D
8773,SUNRAY INFO TECHNOLOGIES INC,D," 66,667",D,D
3872,SKY IT GROUP LLC,D," 75,000",D,D
9249,PORTWARE LLC,D," 109,208",D,D
,,,,D,D
7842,AAAZA INC,D," 53,806",D,D
,,,,D,D
1404,LODESTAR CONSULTING LLC,D," 72,000",D,D
,,,,D,D
0697,AVEPOINT INC,D," 70,333",D,D
,,,,D,D
9952,THIRDWARE SOLUTION INC,D," 76,461",D,D
,,,,D,D
8756,IOMOSAIC CORPORATION,D," 83,798",D,D
,,,,D,D
,,,,D,D
4865,STREAMLINE ELECTRONICS MANUF,D," 75,996",D,D
,,,,D,D
0033,M2SYS LLC,D," 63,333",D,D
2615,APTTUS CORP,D," 130,000",D,D
1710,JOHNSON MATTHEY INC,D," 80,006",D,D
,,,,D,D
4795,HILL ROM MANUFACTURING INC,D," 83,698",D,D
,,,,D,D
2300,PENN MUTUAL LIFE INSURANCE C,D," 91,879",D,D
,,,,D,D
3740,SKF USA INC,D," 72,036",D,D
,,,,D,D
9360,TOWERS WATSON PENNSYLVANIA I,D," 83,502",D,D
,,,,D,D
5094,THE KULJIAN CORPORATION,D," 61,967",D,D
2213,ST LUKE S UNIV HOSPITAL,D," 70,601",D,D
2620,ARCADIA UNIV,D," 74,182",D,D
5135,PA COLLEGE OF OSTEOPATHIC ME,D," 59,515",D,D
,,,,D,D
9667,BETHANNA,D," 36,333",D,D
2091,ECRI INSTITUTE,D," 88,672",D,D
7341,SEI INVESTMENTS COMPANY,D," 78,533",D,D
3113,BAYADA HOME HEALTH CARE,D," 93,600",D,D
,,,,D,D
6774,B BRAUN MEDICAL INC,D," 108,874",D,D
,,,,D,D
0380,AMEKOR INDUSTRIES INC,D," 42,976",D,D
,,,,D,D
9371,FORTNA INC,D," 114,833",D,D
,,,,D,D
2881,LOCK HAVEN UNIV OF PENNSYLVA,D," 58,543",D,D
3538,PRIDE MOBILITY PRODUCTS CORP,D," 101,875",D,D
,,,,D,D
0361,SHIPPENSBURG UNIV OF PA,D," 74,434",D,D
,,,,D,D
4462,EAST STROUDSBURG UNIV OF PA,D," 54,889",D,D
,,,,D,D
7944,MERCY MANAGEMENT OF SOUTHEAS,D," 181,667",D,D
,,,,D,D
6294,AMERIGAS PROPANE INC,D," 119,004",D,D
5229,THE BON TON STORES INC,D," 93,717",D,D
,,,,D,D
3263,PANACEA TECHNOLOGIES INC,D," 68,000",D,D
,,,,D,D
8348,INDEPENDENT COMP CONSULTING,D," 346,667",D,D
,,,,D,D
7780,NATIONAL RUBBER CORP,D," 39,998",D,D
,,,,D,D
3514,COMPUTER TECH RESOURCES INC,D," 100,000",D,D
6826,SYNERGIC SOLUTIONS INC,D," 88,333",D,D
4532,ANEXINET CORP,D," 81,667",D,D
9989,SBM GROUP INC,D," 69,260",D,D
,,,,D,D
6080,CRUSADERS CENTRAL CLINIC ASS,D," 155,948",D,D
4386,HOULTON REGIONAL HOSP,D," 181,667",D,D
9515,DARE ASSN INC,D," 37,440",D,D
0305,URBAN HEALTH PLAN INC,D," 128,333",D,D
6384,WORLD EDUCATION SERVICES INC,D," 47,333",D,D
2423,LOWER EAST SIDE FAMILY UNION,D," 42,067",D,D
,,,,D,D
2162,CATO INST,D," 50,000",D,D
,,,,D,D
0465,TRANE INC A SUBS OF INGERSOL,D," 95,321",D,D
1018,K&L GATES LLP,D," 56,878",D,D
,,,,D,D
4606,HOLY FAMILY INSTITUTE,D," 26,000",D,D
5663,DUQUESNE UNIV MCANULTY COLLE,D," 66,333",D,D
1457,MORGAN TRUCK BODY LLC DBA MO,D," 74,687",D,D
4420,CARMEUSE LIME & STONE INC,D," 94,520",D,D
1071,ACCUWEATHER INC,D," 84,376",D,D
,,,,D,D
0089,ATOTECH USA INC,D," 88,849",D,D
,,,,D,D
4804,AMERICAN INTL RELOCATION SOL,D," 89,672",D,D
,,,,D,D
5303,CARFAX INC,D," 81,167",D,D
,,,,D,D
0623,DCK NORTH AMERICA LLC,D," 64,365",D,D
,,,,D,D
4055,CLOSURE SYSTEMS INTERNATIONA,D," 88,140",D,D
,,,,D,D
5573,EDINBORO UNIV OF PENNSYLVANI,D," 38,607",D,D
,,,,D,D
5902,VAPOR BUS INTL A SUBSIDIARY,D," 79,709",D,D
0334,TRANSCORE LP A SUBSIDIARY OF,D," 96,667",D,D
,,,,D,D
6494,DOMINO TECHNOLOGIES INC,D," 69,000",D,D
,,,,D,D
0947,SUMMA TECHNOLOGIES INC,D," 70,058",D,D
,,,,D,D
1123,CUSTOMIZED ENERGY SOLUTIONS,D," 69,000",D,D
4729,TECHNOLOGY SOFTWARE INC,D," 80,000",D,D
,,,,D,D
2359,GOOD SAMARITAN PHYSICIAN SER,D," 243,333",D,D
8571,TRACKABOUT INC,D," 58,265",D,D
9687,MOBILE ASPECTS INC,D," 50,856",D,D
,,,,D,D
0793,HARRISBURG UNIV OF SCIENCE &,D," 68,333",D,D
,,,,D,D
4395,HALT BUZAS & POWELL LTD,D," 55,867",D,D
,,,,D,D
4383,DENIM GROUP,D," 72,134",D,D
,,,,D,D
5619,LUMIATA INC,D," 130,000",D,D
,,,,D,D
4308,AUSTIN CSI,D," 78,667",D,D
,,,,D,D
8095,BP3 GLOBAL INC,D," 107,000",D,D
,,,,D,D
1780,PAYRANGE INC,D," 146,667",D,D
,,,,D,D
2218,IN-DEPTH GEOPHYSICAL INC,D," 82,333",D,D
2415,STRATAPPS INC,D," 101,500",D,D
,,,,D,D
4655,IIG WIRELESS INC,D," 82,870",D,D
,,,,D,D
,,,,D,D
5758,RENAISSANCE TECHNOLOGIES LLC,D," 174,062",D,D
,,,,D,D
9133,LOGINSOFT CONSULTING LLC,D," 77,133",D,D
,,,,D,D
8910,COALESCENT SYSTEMS LLC,D," 79,933",D,D
,,,,D,D
4371,OPTIMUM IT SOLUTIONS INC,D," 63,333",D,D
,,,,D,D
6905,LONG TAIL AD SOLUTIONS INC,D," 101,667",D,D
,,,,D,D
2039,ACCELER LLC DBA ARRAYFIRE,D," 75,333",D,D
7331,DATAXU INC,D," 81,667",D,D
4005,APPLAUSE APP QUALITY INC,D," 125,333",D,D
,,,,D,D
4271,GEORGIA IT INC,D," 65,333",D,D
,,,,D,D
5083,OTM LABS INC,D," 92,667",D,D
,,,,D,D
5877,PEANUT LABS INC,D," 102,056",D,D
,,,,D,D
9987,SUNTREE LLC,D," 79,333",D,D
7239,INFOTECH CONSULTING LLC,D," 87,880",D,D
7940,SOURCE MANTRA INC,D," 68,595",D,D
,,,,D,D
3674,AMERITECH GLOBAL INC,D," 85,333",D,D
,,,,D,D
5131,CHI ST VINCENT MED GR HOT SP,D," 146,667",D,D
9678,NORTH ARKANSAS PAIN MANAGEME,D," 350,000",D,D
7480,TOPSAIL STAFFING LLC,D," 42,293",D,D
,,,,D,D
8036,WORDLWIDE CLINICAL TRIALS HO,D," 81,667",D,D
,,,,D,D
3533,CYBERBRAINS INC,D," 73,000",D,D
,,,,D,D
4751,LEAGUE IT SOLUTIONS LLC,D," 63,267",D,D
,,,,D,D
6219,CMC ICOS BIOLOGICS INC,D," 81,667",D,D
,,,,D,D
8726,GREEN KEY TEMP LLC D/B/A GRE,D," 86,853",D,D
1755,FORREST SOLUTIONS INC,D," 115,000",D,D
1187,EYEVIEW INC,D," 138,333",D,D
,,,,D,D
1053,VOLTAS CONSULTING INC,D," 70,635",D,D
,,,,D,D
8190,DANA LIMITED,D," 141,802",D,D
,,,,D,D
8195,HYTRUST INC,D," 143,000",D,D
,,,,D,D
7383,MERITAS ADMINISTRATIVE SERVI,D," 41,933",D,D
5925,GATEWAY SCIENCE ACAD OF ST L,D," 37,345",D,D
5904,ROBUSTWARE INC,D," 77,813",D,D
,,,,D,D
2467,XBIOTECH USA INC,D," 51,480",D,D
,,,,D,D
0473,CAPSTONE USA LLC,D," 56,830",D,D
1071,THINK SURGICAL INC,D," 93,959",D,D
,,,,D,D
4577,HUDSON VALLEY SYSS SOLUTIONS,D," 111,667",D,D
,,,,D,D
7214,AFFINITY HEALTH GROUP LLC,D," 300,000",D,D
3875,BLUEMOUNTAIN CAPITAL MGT LLC,D," 175,000",D,D
6220,DALBERG CONSULTING US LLC,D," 96,287",D,D
4907,THE RAINMAKER GROUP HOLDINGS,D," 77,357",D,D
4221,PLUS CAREER INC,D," 39,558",D,D
,,,,D,D
2141,GERMAN INTERNATIONAL SCH CHI,D," 45,195",D,D
,,,,D,D
8706,THINK TREE TECHNOLOGIES INC,D," 81,667",D,D
1973,IVYMAX INC,D," 44,932",D,D
1808,JIAHERB INC,D," 45,476",D,D
0890,ECOMOTORS INC,D," 80,333",D,D
,,,,D,D
4968,OMNIGON COMMUNICATIONS LLC,D," 100,000",D,D
,,,,D,D
3689,LUMENDATA INC,D," 85,333",D,D
1805,PRINCETON IT SERVICES INC,D," 71,740",D,D
,,,,D,D
7822,THRIVESOFT INC,D," 77,333",D,D
,,,,D,D
1648,SEWON AMERICA INC,D," 57,325",D,D
,,,,D,D
6532,AMERICAN STRATEGIC INSUR COR,D," 47,174",D,D
3331,DEALERSOCKET INC,D," 63,969",D,D
,,,,D,D
0384,LUCENT IT SOLUTIONS,D," 63,333",D,D
,,,,D,D
3185,LT SECURITY INC,D," 57,000",D,D
5201,DIA ASSOCIATES LLC,D," 83,333",D,D
2744,ON RAMP WIRELESS INC,D," 101,637",D,D
,,,,D,D
2930,FORT WAYNE VETERINARY SVCS P,D," 95,840",D,D
,,,,D,D
5083,KIXEYE INC,D," 131,667",D,D
,,,,D,D
5918,MOOTLY INC,D," 77,539",D,D
,,,,D,D
8684,CA GROUP INC,D," 79,040",D,D
2029,THE ROBERTS CO FIELD SERVICE,D," 107,000",D,D
0343,CLIECON SOLUTIONS INC,D," 69,709",D,D
7846,ADVANCE SOLUTIONS CORP,D," 74,641",D,D
8940,AMERICAN APPAREL USA LLC,D," 61,667",D,D
,,,,D,D
9660,& TV COMMUNICATIONS INC,D," 45,206",D,D
,,,,D,D
8031,SRI SOFTWARE SOLUTIONS,D," 63,139",D,D
1486,PREMIER RESEACH INTERNAL LLC,D," 72,616",D,D
7220,CLINE DAVIS & MANN LLC,D," 58,717",D,D
5197,DNV KEMA RENEWABLES INC,D," 76,300",D,D
,,,,D,D
5247,JCIM LLC,D," 68,333",D,D
,,,,D,D
5927,VIRTUAL TECH GURUS INC,D," 78,667",D,D
0893,HSN INC,D," 107,603",D,D
5775,SYNERGETIC INFORMATION SYSTE,D," 81,833",D,D
,,,,D,D
1993,SYSHA INC,D," 64,418",D,D
8308,BASEHEALTH INC,D," 84,659",D,D
,,,,D,D
7284,TUV RHEINLAND OF NA INC,D," 98,645",D,D
,,,,D,D
6886,VIMEO LLC,D," 99,333",D,D
7451,TRUE ULTIMATE STANDARDS EVER,D," 118,479",D,D
,,,,D,D
0388,POWER ENVIRONMENTAL ENERGY R,D," 63,333",D,D
,,,,D,D
7240,FINANCIAL RECOVERY TECHS LLC,D," 54,029",D,D
,,,,D,D
1214,CATALYST ONLINE LLC,D," 90,332",D,D
,,,,D,D
1251,MINDSHARE USA LLC,D," 135,333",D,D
2587,ALLIED DIGITAL SERVICES LLC,D," 116,000",D,D
,,,,D,D
9312,EVERBRIDGE INC,D," 115,000",D,D
,,,,D,D
2870,TECHNOSSUS LLC,D," 73,333",D,D
,,,,D,D
1971,BAYVIEW ASSET MANAGEMENT,D," 98,333",D,D
,,,,D,D
3472,UNIVALUE CREATIONS LLC,D," 36,951",D,D
9922,INSPYRUS INC,D," 96,259",D,D
,,,,D,D
0995,BIZ TECHNIX INC,D," 65,667",D,D
4379,ROCKET LAWYER INC,D," 106,667",D,D
1161,EVERQUOTE INC,D," 72,667",D,D
0397,THE MOST GROUP INC,D," 95,200",D,D
8445,SAUCE LABS INC,D," 120,000",D,D
,,,,D,D
,,,,D,D
8817,FLORIDA HEALTH CARE PLAN INC,D," 80,000",D,D
,,,,D,D
0555,ONEBEACON SERVICES LLC,D," 92,533",D,D
8343,ACCELSOIR INC,D," 69,333",D,D
,,,,D,D
2651,BRINQA LLC,D," 67,695",D,D
2359,ECHOSTAR BROADCASTING CORP,D," 98,035",D,D
2091,QUANT SYSTEMS INC,D," 59,667",D,D
,,,,D,D
3554,GLOBAL VISSE INC,D," 63,667",D,D
1864,CHEF SOFTWARE INC,D," 119,080",D,D
,,,,D,D
9655,E LA CARTE INC,D," 63,351",D,D
,,,,D,D
3007,CREATETHE GROUP,D," 90,458",D,D
4137,FOXIT CORP,D," 56,601",D,D
9091,HUDSON AMERICAS LLC,D," 116,917",D,D
,,,,D,D
9232,SMART DW INC,D," 65,346",D,D
,,,,D,D
1444,MACQUARIE AMERICA SERVICES I,D," 170,000",D,D
5355,PIEDMONT FUND SERVICES INC,D," 45,500",D,D
0729,HUSCO AUTOMOTIVE HOLDINGS LL,D," 60,667",D,D
3381,ADYEN INC,D," 118,373",D,D
,,,,D,D
9522,SMARTZIP ANALYTICS INC,D," 108,333",D,D
,,,,D,D
0638,DUKE MARINE TECHNICAL SERVIC,D," 136,587",D,D
,,,,D,D
3969,CIMATION LLC,D," 94,865",D,D
,,,,D,D
3402,ACCELERANT SOFTWARE INC,D," 93,333",D,D
,,,,D,D
4988,CURRICULUM ASSOCIATES LLC,D," 74,519",D,D
4352,RENOVATE AMERICA,D," 98,333",D,D
,,,,D,D
6297,ARROWMINDS INC,D," 94,000",D,D
,,,,D,D
5749,TENMARKS EDUCATION LLC,D," 126,000",D,D
,,,,D,D
2437,HMP OF MARYLAND PC,D," 228,533",D,D
1820,MEDIXSOFT INC,D," 91,667",D,D
5460,SCIGON SOLUTIONS INC,D," 66,667",D,D
,,,,D,D
8802,GOWORK SOLUTIONS INC,D," 60,000",D,D
,,,,D,D
8761,KABBAGE INC,D," 110,000",D,D
,,,,D,D
6705,NETSPURT CORPORATION,D," 127,733",D,D
2173,TEKSHAPERS INC,D," 65,833",D,D
,,,,D,D
6556,PRECISION GLOBAL SOLUTIONS I,D," 67,707",D,D
,,,,D,D
2377,OBXTEK INC,D," 127,133",D,D
,,,,D,D
2251,VAYNERMEDIA LLC,D," 318,833",D,D
3665,MOTIVITY LABS INC,D," 75,000",D,D
4196,RECURRENT ENERGY DEVELOPMENT,D," 88,000",D,D
,,,,D,D
7618,ERDOS MILLER INC,D," 76,000",D,D
8193,FOCUSKPI INC,D," 100,800",D,D
5607,U BLOX SAN DIEGO INC,D," 93,369",D,D
7596,DOYEN BUSINESS SOLUTIONS INC,D," 79,000",D,D
,,,,D,D
4257,VEOLIA WATER TECHNOLOGIES IN,D," 94,847",D,D
6130,AIR LIQUIDE LARGE INDUSTRIES,D," 114,352",D,D
,,,,D,D
2376,HARTSVILLE MEDICAL GROUP LLC,D," 368,000",D,D
5260,TELAVANCE INC,D," 86,773",D,D
7023,ART SY INC,D," 107,000",D,D
,,,,D,D
8482,SHOPKICK INC,D," 120,000",D,D
8004,ADVANCED TECH LABORATORIES I,D," 34,258",D,D
,,,,D,D
9865,ZENTA MORTGAGE SERVICES LLC,D," 81,436",D,D
,,,,D,D
2045,D4C PRODUCT DEVELOPMENT INC,D," 84,000",D,D
,,,,D,D
7676,GREENWAVE REALITY DBA GREENW,D," 115,398",D,D
,,,,D,D
0882,BENEFITS EXCHANGE ALLIANCE I,D," 49,559",D,D
,,,,D,D
0110,MILLICOM INTERNATIONAL SVCS,D," 101,833",D,D
,,,,D,D
7554,KEATING CONSULTING GROUP INC,D," 56,187",D,D
9319,NEW YORK MART GROUP INC,D," 39,124",D,D
4167,HARDING LOEVNER LP,D," 159,333",D,D
5532,THOUSAND EYES INC,D," 96,667",D,D
,,,,D,D
6402,QUANTIFIND INC,D," 115,000",D,D
,,,,D,D
4768,STANT USA CORP,D," 93,884",D,D
2142,EXCELLENT CARE PARTNERS LLC,D," 67,147",D,D
5208,RN EXPRESS STAFFING REGISTRY,D," 61,319",D,D
,,,,D,D
7100,MARS INFORMATION SERVICES IN,D," 102,667",D,D
,,,,D,D
8826,QBE AMERICAS INC,D," 241,838",D,D
,,,,D,D
6799,RECURLY INC,D," 124,333",D,D
6220,GETAROUND INC,D," 143,333",D,D
,,,,D,D
5967,MICRO2MEGA INC,D," 64,167",D,D
,,,,D,D
8964,TVARANA SOFTWARE SOLUTIONS L,D," 66,667",D,D
,,,,D,D
9415,CSR INFOTECH INC,D," 53,000",D,D
,,,,D,D
7787,PRESCHOOL OF AMERICA,D," 24,147",D,D
,,,,D,D
2221,ENFOGLOBE INC,D," 72,717",D,D
,,,,D,D
2763,QUESTEX MEDIA GROUP LLC,D," 47,231",D,D
,,,,D,D
3807,SYMPHONY INFOTEK INC,D," 69,346",D,D
,,,,D,D
4224,MAGNETI MARELLI OF TENNESSEE,D," 79,000",D,D
0448,AEGIS CO,D," 90,000",D,D
,,,,D,D
1881,CONNECT WORLD,D," 65,333",D,D
,,,,D,D
2111,THINK IT TECHNOLOGIES INC,D," 77,000",D,D
,,,,D,D
2099,JLK ROSENBERGER LLP,D," 60,333",D,D
,,,,D,D
8627,APPS SYSTEMS LLC,D," 77,167",D,D
1550,CLINTON GLOBAL INITIATIVE,D," 57,667",D,D
4842,PANDERA SYSTEMS PLLC,D," 87,314",D,D
,,,,D,D
7182,VAP TECHNOLOGY GROUP LLC,D," 64,890",D,D
,,,,D,D
1036,ENSIGHTEN INC,D," 121,400",D,D
,,,,D,D
3058,RESONATE NETWORKS INC,D," 102,333",D,D
3682,REPEAT CONSULTANTS LLC,D," 91,865",D,D
,,,,D,D
7841,OPTIMIZELY INC,D," 121,667",D,D
2881,APOGEE MEDICAL GORUP NEW YOR,D," 236,667",D,D
6939,KSQUARE SOLUTIONS INC,D," 65,035",D,D
7664,YANFENG USA AUTOMOTIVE TRIM,D," 44,526",D,D
,,,,D,D
9820,PREDICTIVE ANALYTICS DECISIO,D," 74,667",D,D
6827,REIDY CONTRACTING GROUP LLC,D," 75,853",D,D
,,,,D,D
5755,SARK TECHNOLOGY SOLUTIONS LL,D," 71,333",D,D
,,,,D,D
8319,FOCUZ MINDZ INC,D," 50,932",D,D
,,,,D,D
2971,RUHA TECHNOLOGIES INC,D," 88,667",D,D
,,,,D,D
3656,EASTBAY BI INC,D," 76,667",D,D
,,,,D,D
6845,BALBEC CAPITAL LP,D," 86,667",D,D
,,,,D,D
8800,YIPIT INC,D," 118,333",D,D
,,,,D,D
1884,FLEXIBLE ARCHITECTURE & SIMP,D," 94,641",D,D
4069,SIMR INC D/B/A STATINMED RES,D," 53,500",D,D
3213,ARIKKAN INC,D," 63,333",D,D
,,,,D,D
7399,THE TRADE DESK INC,D," 120,000",D,D
,,,,D,D
5514,BOOKINGSUITE USA INC,D," 113,333",D,D
6040,THE INST FOR NEW ECONOMIC TH,D," 98,333",D,D
,,,,D,D
6246,REVEALIT SOLUTIONS INC,D," 76,667",D,D
,,,,D,D
9798,WAJAO INC DBA RETENTION SCIE,D," 100,000",D,D
5790,RISING TIDES SOLUTIONS LLC,D," 77,500",D,D
4779,DATATEK INC,D," 64,520",D,D
5834,IVY MORTGAGE INC DBA IVY LOA,D," 44,872",D,D
8130,NOVA ASSET MANAGEMENT INC,D," 46,736",D,D
3973,LEANTAAS INC,D," 90,000",D,D
,,,,D,D
7395,COCA-COLA ENTERPRISES INC,D," 95,968",D,D
2033,GSK SOLUTIONS INC,D," 73,917",D,D
4206,DATASTAX,D," 138,333",D,D
,,,,D,D
2303,IDI CONSULTING LLC,D," 99,400",D,D
,,,,D,D
7721,INNOVATE APPS INC,D," 59,333",D,D
,,,,D,D
9566,SCIENCELOGIC INC,D," 97,000",D,D
,,,,D,D
5183,VERVEBA TELECOM LLC,D," 67,667",D,D
4458,HOMEJOY INC D/B/A HOMEJOY,D," 115,000",D,D
,,,,D,D
0016,GENBAND US LLC,D," 110,000",D,D
,,,,D,D
7084,TRIMECA USA LLC,D," 111,299",D,D
7264,WAFERWIRE LLC,D," 68,667",D,D
3871,PAGERDUTY INC,D," 133,333",D,D
5153,PROGREXION,D," 92,667",D,D
2137,CASE COMMONS INC,D," 81,533",D,D
,,,,D,D
0750,MARSTEK SOLUTIONS LLC,D," 90,000",D,D
,,,,D,D
2345,ALTEGRA HEALTH OPERATING COM,D," 59,287",D,D
2810,AZZUR GROUP LLC,D," 72,333",D,D
0802,HETERO USA INC,D," 107,250",D,D
3566,ITDR INC,D," 60,833",D,D
7138,GRIFFIN SOLUTIONS GROUP LLC,D," 78,667",D,D
,,,,D,D
0396,HEUTECHWELT INC,D," 80,667",D,D
,,,,D,D
4877,SKR SOFT INC,D," 66,100",D,D
,,,,D,D
6493,GROVO LEARNING INC,D," 93,333",D,D
8507,1010DATA SERVICES LLC,D," 86,667",D,D
,,,,D,D
1426,KK MEHTA CPA ASSOCIATES PC,D," 70,333",D,D
,,,,D,D
8008,RIGID GLOBAL BUILDINGS LLC,D," 46,996",D,D
,,,,D,D
6557,KASHIV PHARMA LLC,D," 64,667",D,D
3307,EXABLOX CORP,D," 135,000",D,D
6730,BANJO INC,D," 135,000",D,D
,,,,D,D
6989,KSK CONSTRUCTION GROUP LLC,D," 54,913",D,D
,,,,D,D
6701,TRUQUA ENTERPRISES LLC,D," 91,730",D,D
,,,,D,D
7927,ARTHUR LAWRENCE STAFFING USA,D," 47,292",D,D
0342,QL2 SOFTWARE LLC,D," 52,301",D,D
0918,LG CHEM POWER INC,D," 90,167",D,D
,,,,D,D
9057,PLEXXI INC,D," 94,167",D,D
1517,COSIMA SOLUTIONS LLC,D," 59,783",D,D
,,,,D,D
2936,EXCERS SOFTWARE SOLUTIONS IN,D," 109,000",D,D
7044,EXCELTO SOLUTIONS LLC,D," 64,367",D,D
,,,,D,D
4022,RAAS INFOTEK LLC,D," 73,333",D,D
,,,,D,D
4233,KLNTEK,D," 79,455",D,D
0288,SILICON TECH SOLUTIONS INC,D," 78,333",D,D
,,,,D,D
6010,ZORO TOOLS INC,D," 66,667",D,D
0919,CAFFEBENE INC,D," 39,867",D,D
,,,,D,D
3012,CLOVER NETWORK INC,D," 160,000",D,D
,,,,D,D
,,,,D,D
5109,72ANDSUNNY PARTNERS LLC,D," 136,667",D,D
9514,SAKTHI AUTOMOTIVE GROUP USA,D," 68,000",D,D
,,,,D,D
2920,TRUEEX GROUP LLC,D," 136,667",D,D
,,,,D,D
8631,ADVANCIVE LLC,D," 88,333",D,D
0403,AMPED INC D B A APPLAUZE,D," 144,667",D,D
,,,,D,D
9551,WE WORK MANAGEMENT LLC,D," 102,000",D,D
,,,,D,D
,,,,D,D
0239,PRINSTON PHARMACEUTICAL INC,D," 50,135",D,D
7260,BUA LLC DBA BUA RESTAURANT,D," 52,365",D,D
5686,TRUVERIS INC,D," 110,000",D,D
,,,,D,D
8086,PRO DENTAL ALLIANCE,D," 130,194",D,D
9609,REVINATE INC,D," 107,000",D,D
,,,,D,D
7746,ANDREA M WARD LLC,D," 39,728",D,D
1903,ORIGIN CONSULTING LLC,D," 110,785",D,D
,,,,D,D
7030,PERCEPTIMED INC,D," 110,000",D,D
,,,,D,D
6131,ACCENZ LLC,D," 60,000",D,D
,,,,D,D
4218,BORN GR INC FKA GR FMG INC F,D," 102,333",D,D
0039,LEAN ERP SOLUTIONS LLC,D," 54,141",D,D
,,,,D,D
2319,KIDNEY CENTER OF CENTRAL GEO,D," 169,993",D,D
6027,SOCTRONICS INC,D," 116,185",D,D
,,,,D,D
1986,SPHINIX NETWORK SOLUTIONS IN,D," 64,641",D,D
4011,AQUIFI INC,D," 108,221",D,D
,,,,D,D
0643,TIGER ANALYTICS LLC,D," 106,000",D,D
8795,BYTEMARK INC,D," 85,000",D,D
,,,,D,D
4127,SWITCH COMMUNICATIONS INC,D," 107,333",D,D
3474,INTELLIGENT FUSION TECHNOLOG,D," 73,292",D,D
,,,,D,D
8295,WINTEL SOLUTIONS LLC,D," 67,535",D,D
,,,,D,D
6621,SOUND KENWOOD HOSPITALISTS O,D," 253,080",D,D
0064,SVC MARKETPLACE INC DBA YOUR,D," 131,667",D,D
,,,,D,D
6130,TENG YUE PARTNERS LP,D," 126,667",D,D
1038,PERSONALIS INC,D," 145,333",D,D
,,,,D,D
0891,NUVIZZ INC,D," 93,333",D,D
,,,,D,D
6760,WM LOGISTICS,D," 81,947",D,D
,,,,D,D
,,,,D,D
6974,THE UNIV OF TEXAS AT BROWNSV,D," 50,000",D,D
,,,,D,D
0590,EDGILE INC,D," 113,750",D,D
0677,ENNVEE TECHNOGROUP INC,D," 73,400",D,D
,,,,D,D
5172,WUXI APPTEC INC,D," 56,501",D,D
8211,NET ENRICH INC,D," 97,049",D,D
4854,IND & COMMERCIAL BANK OF CHI,D," 65,933",D,D
,,,,D,D
