"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
9676,GARY DUFF DESIGNS INC,D,-,D
3895,DIAMOND COVE MARINA INC,D,-,D
2752,BUTTERCUP FARM AND GARDEN INC,D,-,D
5991,JAMES H LYNCH IRRIGATION SVCS INC,D,-,D
8206,COMMRES FINANCIAL LLC DBA BEST WES,D,-,D
1338,RICHARD HOFFMAN LANDSCAPING INC,D,-,D
2251,TROYS LANDSCAPE SUPPLY CO INC,D,-,D
8570,DAILY SERVICES LLC,D,-,D
6087,HOOPS LAWN AND LANDSCAPING LLC,D,-,D
1494,PINE CANYON GOLF CLUB LLC,-,D,D
782,MEXICO TIMPICO INC,-,D,D
7077,RICK WALLACE INC,D,-,D
9440,CAPITOL LANDSCAPE INC,D,-,D
6543,THE DECOR GROUP OF NORTHERN KY,-,D,D
9213,LANGS LAWN CARE,D,-,D
4054,DISANDRO LANDSCAPE GROUP INC,D,-,D
1560,WHATS UP LAWN & LANDSCAPE LLC,D,-,D
5145,BOREAL PROPERTY MGMT,D,-,D
3277,SMITH BROTHERS INC,D,-,D
2714,BRUMMEL LAWN & LANDSCAPE LLC,-,D,D
1993,ALVARADO LANDSCAPING INC,D,-,D
9168,LAWN AUTHORITY LC,D,-,D
5863,BAKER LANDSCAPE & IRRIGATION INC,D,-,D
7011,INNOVATIVE LANDSCAPING INC,D,-,D
2962,BOBICK CONCESSIONS,D,-,D
7025,GREEN HILL LANDSCAPE INC,D,-,D
1386,BART KELLER COMPANY LLC,D,-,D
2884,COMPLETE PERFECTION CONSTRUCTION D,D,-,D
5532,A&A LANDSCAPE & MAINTENANCE LLC,D,-,D
215,MALDONADO LANDSCAPE COMPANY LLC,D,-,D
5773,DAMN GOOD SERVICES LANDSCAPING LLC,-,D,D
8163,CALLANDERS NURSERY INC,D,-,D
8508,LANDESIGN INC,-,D,D
831,SUNNYSIDE LANDSCAPING INC,-,D,D
8798,LEDDEN PALIMENO LANDSCAPING & MAIN,D,-,D
6196,L B FORCELLATI & SONS INC,D,-,D
3144,TGL MANAGEMENT INC,D,-,D
8860,ALL SEASONS GROUNDS MAINTENANCE IN,D,-,D
5107,SAJE ENTERPRISES LLC DBA EDP SOCCE,D,-,D
6750,LEHIGH COUNTRY CLUB,D,-,D
4686,MEADOWLANDS COUNTRY CLUB,D,-,D
4597,TOWN AND COUNTRY LAWN CARE INC,D,-,D
2549,DP HOUGHTON THOROUGHBRED MGT,D,-,D
4546,P S H & ASSOCIATES,D,-,D
2256,ADLERS LANDSCAPE NURSERY INC,D,-,D
9397,P&C LANDSCAPING INC,D,-,D
7387,JACOBS STONE PRODUCTS INC,-,D,D
9090,HIDDEN VALLEY LANDSCAPE LLC,D,-,D
3708,AMERICAN IRRIGATION REPAIR LLC,D,-,D
3033,SUBURBAN LANDSCAPE MANAGEMENT INC,D,-,D
1975,MOER LANDSCAPE MGT INC DBA LIBERTY,D,-,D
8660,MONITA INC,-,D,D
9570,GOLDEN TRIANGLE SERVICES INC,D,-,D
8224,RAMONDA LANDSCAPE GRP INC,D,-,D
479,CRUZITO INC,-,D,D
853,GREEN GUYS LAWN MAINTENANCE LLC,D,-,D
3759,BROOKSIDE CONSTRUCTION SVCS INC,D,-,D
3523,SEA CHAMBERS MOTEL,D,-,D
6617,OPIE S LANDSCAPING LLC,D,-,D
7920,R & M NURSERY CORP DBA ROABERT LAN,-,D,D
1176,SLEEPING BEAR INC DBA BEST WESTERN,D,-,D
4337,WEST FORK LLC DBA CROSSWINDS INN,D,-,D
5305,PROFESSIONAL LANDSCAPING LLC,D,-,D
720,FLAT RATE INC,D,-,D
7652,ARCH MASONRY INC,D,-,D
2258,EASM LLC DBA MICROTEL INN & SUITES,-,D,D
87,RUBICON CONTRACTING LLC,D,-,D
7551,ECOSYSTEMS LANDSCAPE MGT INC,-,D,D
9964,LAWN MASTERS LLC,D,-,D
4008,FREDDYS LAWN SERVICE LLC,D,-,D
9658,M&M CARPENTERS INC,-,D,D
3921,EVERGREEN LANDSCAPING INC,-,D,D
2487,HC NATIONWIDE LLC,D,-,D
7118,RUSSELL HUNT S TOTAL LAWN CARE DBA,D,-,D
9802,MILLS FENCE CO INC,D,-,D
5882,PERFECTION LANDSCAPING & DESIGN,D,-,D
7835,PROPERTY MAINTENANCE SVCS INC,D,-,D
127,CRABTREE CONCESSIONS INC,-,D,D
5381,LIBERTY LANDSCAPING INC,D,-,D
1946,AARON LANDSCAPING,D,-,D
5090,LASKO ENTERPRISES INC,D,-,D
5414,LAND CREATIONS LANDSCAPING,D,-,D
8757,D PETERMAN LANDSCAPING INC,D,-,D
9377,GROOVER ROOFING & SIDING INC,D,-,D
4758,PAVLIN S YARD MAINTENANCE INC,D,-,D
3082,DINGWALL PAINTING & REMODELING LLC,D,-,D
5097,COSMO CORP,-,D,D
2965,FRANCO LANDSCAPING INC,D,-,D
8600,RAYMONDS LAWN CARE LLC,D,-,D
3668,LASSITER & SON LLC,D,-,D
7915,WEST COUNTY LANDSCAPING,D,-,D
9780,SOLUTIONS LANDSCAPES & DESIGNS LLC,D,-,D
1850,BOYNE USA INC,D,-,D
427,TURF ONE LAWN MAINTENANCE INC,D,-,D
585,HURON LAWNS SVC INC DBA GREAT OUTD,D,-,D
2700,B&A HOLDINGS LLC D/B/A PARKSHORE R,D,-,D
3981,CERTIFIED EROSION CONTROL-NH LLC D,D,-,D
523,JASPER CONSTRUCTION SVCS INC,D,-,D
2552,FIRST CHOICE TREE CARE INC,D,-,D
8745,OLYMPIC HILLS CORP DBA OLYMPIC HIL,D,-,D
2158,DEE JAY S QSR OF NORTH DAKOTA INC,D,-,D
1420,FRISELLA NURSERY INC,-,D,D
3813,KEEVEN BROTHERS LANDSCAPIG INC,D,-,D
5007,THE WELLINGTON GRP INC,D,-,D
1115,CUTTING EDGE LAWN & LANDSCAPE INC,D,-,D
6586,DOHNER LTD DBA DOHNER LANDSCAPING,D,-,D
4197,ROUND HILL POLO DEVELOPMENT LLC,D,-,D
2479,TERRA SCAPE LANDSCAPE CONSTRUCTORS,D,-,D
8950,VERTECH SPRINKLER & LANDSCAPE LLC,D,-,D
8607,LANDMARK CAROLINAS INC DBA LANDMAR,D,-,D
1901,G T GROUND INC,D,-,D
650,WALSAN CORP DBA ECONOLODGE/SUPER 8,D,-,D
591,COLEBRROK RACING STABLE INC,D,-,D
808,MERIDIAN ROOFING SOLUTIONS LLC,D,-,D
1257,AM LAWN SERVICE,D,-,D
5410,LAKE PLACID NY LLC,-,D,D
7485,HARMONY LANDSCAPING & PROPERTY MGT,D,-,D
870,SCIARRA RESTAURANT LLC DBA POPPIS,D,-,D
8174,ISLAND TOUCH LLC DBA ISLAND TOUCH,-,D,D
2473,HORIZON LANDSCAPE SVCS LLC,-,D,D
1323,BC CHOP LLC DBA BEAVER CREEK CHOPH,D,-,D
9341,HOT CHOCOLATE SPARROW 2.0 INC,-,D,D
1371,BURCHFIELD CONTRACTING LLC,D,-,D
4564,BUDDYS ENTERTAINMENT INC,-,D,D
5573,LAWNS UNLIMITED LTD,D,-,D
1974,MICHAEL DALE MITSDARFER INC,D,-,D
6029,DEL ANGELS LANDSCAPING INC,D,-,D
5258,PROTOUCH GROUNDSCAPES LLC DBA PROT,D,-,D
959,CCG GREENERY INC,D,-,D
13,GIBSON LANDSCAPES INC,-,D,D
347,CUSTOM GROUND MAINTENANCE INC,D,-,D
4554,NATURAL ART LANDSCAPING INC,D,-,D
1665,SHORES & RUARK SEAFOOD COMPANY INC,D,-,D
8946,WINN NURSERY OF VIRGINIA INC,D,-,D
870,RDS LAWN AND LANDSCAPING INC,D,-,D
1904,ANDREWS LAWN AND LANDSCAPING LLC,D,-,D
9286,NEWCON INC,D,-,D
779,LARRYS LANDSCAPING SERVICES INC,D,-,D
5951,MARINO S LAWNCARE D/B/A MARINO S L,-,D,D
9367,PHOENIX LEASING PARTNERS INC,D,-,D
7720,FRIEDEN LANDSCAPING INC,D,-,D
9559,HAHIRA NURSERY INC DBA QC LANDSCAP,D,-,D
3684,SOUTHERN PRIDE LAWN CARE INC,D,-,D
6913,LOEWS DON CESAR HOTEL,D,-,D
425,SOUTHEASTERN OUTDOOR MGT INC,D,-,D
8181,INNSITE INC D/B/A BAY VIEW B&B,-,D,D
6535,BLUE HAWAIIAN POOLS,D,-,D
9963,JUST FOR FUN RIDES INC,D,-,D
6568,BRYAN WISEMAN GEN CONTRACTING INC,D,-,D
9803,ERS CONCRETE LLC,D,-,D
2739,MARTIN AGRICULTURAL REPAIR SVCS,D,-,D
8533,HYDRO-SCAPES LLC,D,-,D
6341,PAUL SCHWARTZ LANDSCAPING LLC,D,-,D
5358,MYERS LANDSCAPE MANAGEMENT INC,-,D,D
458,CHAPA SHRIMP TRAWLERS INC,-,D,D
9475,NATIONAL SEAFOOD INC,-,D,D
4362,MILTS SEAFOOD PLANT INC,-,D,D
7636,TWIN CITY SHRIMP CO INC,-,D,D
472,BUILDERS AND LANDSCAPING SVCS INC,D,-,D
5456,DON PACO INC,-,D,D
6204,A FRAILE GOMEZ CONSTRUCTION INC,D,-,D
8494,JOE FLORES,D,-,D
1609,SANFORD & SONS INC,D,-,D
1687,DELBOSQUE LANDSCAPING INC,D,-,D
3640,LINDSAY LANDSCAPING & LAWNCARE INC,-,D,D
9738,TIGERGREEN LAWN & LANDSCAPING LLC,D,-,D
4285,YOSEMITE BUG RUSTIC MOUNTAIN RESOR,D,-,D
8057,MAVA LANDSCAPE INC,D,-,D
2863,ST LOUIS LAWN CARE INC,D,-,D
9460,LOS MOP INC,-,D,D
7457,CHARLIE ATKINS INC,D,-,D
8908,ESPINOZA CONSTRUCTION COMPANY,D,-,D
5839,LOOMIS ENTERPRISES INC DBA DAYS IN,D,-,D
2657,HERNANDEZ TEXAS 5 STAR CONSTRUCTIO,D,-,D
7218,PARK RANGE CONSTRUCTION INC,D,-,D
6722,KELLEY SPRINKLER & LANDSCAPE INC,D,-,D
5427,HYDRO TURF INC,D,-,D
880,ROCKY MOUNTAIN LANDSCAPE & DESIGN,D,-,D
2206,RANCH CREEK LTD,-,D,D
9585,A&L LANDSCAPING,D,-,D
5551,SIMPSON GARDEN DESIGN LLC,D,-,D
4281,L E CORP,D,-,D
6285,BROTHERS LANDSCAPE LLC,D,-,D
8253,SUPER BOBS LAWN AND LANDSCAPE LLC,D,-,D
7732,ISLAND GARDENS CO,D,-,D
1097,KARAZISSIS BROTHERS INC,D,-,D
9588,MGM ENTERPRISES INC,D,-,D
9568,HARBOUR RIDGE YACHT & COUNTRY CLUB,D,-,D
8877,HERONS GLEN RECREATION DISTRICT,D,-,D
395,JUPITER HILLS CLUB INC,D,-,D
9603,TINSLEY S AMUSEMENTS INC,-,D,D
3712,HARTS RESTAURANT INC DBA HARTS TUR,-,D,D
6551,GREEN THUMB FARMS,-,D,D
527,VILLAGE BY THE SEA OWNERS ASSOC IN,D,-,D
8371,THOMSON LAWN CARE,D,-,D
4368,LANDSCAPES BY MAPLE LEAF LLC,D,-,D
6228,MASTERCRAFT CONCRETE CONTRACTING L,D,-,D
311,BEACH PROPERTIES INC DBA BASIN HAR,-,D,D
8748,QUECHEE LAKES LANDOWNERS ASSOC INC,D,-,D
1018,CAPE HOLIDAY MOTEL INC DBA HYANNIS,D,-,D
3777,MARSPEC INC DBA MARINE SPECIALTIES,-,D,D
2063,JEROPE INC DBA ARNOLDS LOBSTER & C,-,D,D
5771,THE MAYFLOWER CAFE INC,-,D,D
394,STEAMBOAT WHARF OF PROVINCETOWN IN,-,D,D
852,B & M LANDSCAPE MAINTENANCE INC,D,-,D
8737,FLOWERS & MORE INC,D,-,D
9230,AQUAQUADE SWIMMING POOL INC,D,-,D
9355,BELLOWS GARDENS INC,D,-,D
4911,JOHN GISMONDI LANDSCAPING INC,D,-,D
6353,WAINSCOTT FARMS INC,D,-,D
8140,MICHAEL HUSHION RACING LTD,D,-,D
4318,BRIAN MCDONALD CONSTRUCTION INC,D,-,D
3702,JFM CONCRETE CORP,D,-,D
7987,HORIZONS UNLIMITED LANDSCAPE DESIG,D,-,D
7637,PREMIER LANDSCAPES & LAWNCARE INC,D,-,D
5229,MORANO LANDSCAPING INC,D,-,D
7916,A & A LAWNCARE & LANDSCAPE LLC,D,-,D
2062,MANDY SPRING FARM NURSERY INC,-,D,D
3034,LEHIGH LAWNS & LANDSCAPING INC,D,-,D
2726,FLORES LANDSCAPING & NURSERY INC,D,-,D
5159,EAGLE WINDOW CLEANING SERVICE CORP,D,-,D
4948,TG RESOURCES LLC DBA THE TERRITORY,D,-,D
2007,ACCENT PROMOTIONS INC,D,-,D
7192,MARK STEYN ENTERPRISES US IN,D,-,D
592,LANKFORD LANDSCAPING 1 LLC,D,-,D
7380,WOEHLER LANDSCAPING LLC,D,-,D
4187,R & R LANDSCAPE AND DESIGN INC,D,-,D
1066,CHRIS LAWN CARE DBA CLC INC,D,-,D
7473,THE BEACHWOOD,D,-,D
7094,PALADIN AMUSEMENTS INC,D,-,D
7381,B SWANSON LANDSCAPE INC,-,D,D
8000,SCHUTZS LANDSCAPE & DESIGN LLC,D,-,D
8856,SIGGYS PERENNIAL GARDENS INC,D,-,D
7104,A H CORNELL & SON INC,D,-,D
6118,J & J LAWN & LANDSCAPING INC,D,-,D
5629,DOUGHERTY LANDSCAPING INC,D,-,D
374,82 RENTS INC,D,-,D
8295,ROCK PROPERTY MAINTENANCE LTD,D,-,D
5341,CREATIVE EXTERIORS INC,D,-,D
5994,BEALLS GREENHOUSE NURSERY & SUPPLY,D,-,D
7490,WERSTIL COMPANIES,-,D,D
8431,TODD BURRIS GROUND EFFECTS LLC,D,-,D
2335,A AFFORDABLE LANDSCAPE LLC DBA OUT,D,-,D
2592,LEVEL 5 LLC,-,D,D
2954,LANDSCAPE MAKEOVERS LLC DBA LANDSC,D,-,D
6959,GALEX LLC DBA CHELITO S MEXICAN RE,D,-,D
1115,GREEN THUMB OF DYERSBURG LLC,D,-,D
3559,LIBERTY LAWN AND LANDSCAPING,D,-,D
6507,MIDWEST LAWN LLC,D,-,D
7146,EDEN VILLAGE MOTEL & COTTAGE DBA E,-,D,D
879,DAN FRANTZ CONCRETE LLC,D,-,D
187,NANTUCKET TENTS LLC,-,D,D
733,WISCONSIN BLDG SUPPLY US LBM LLC,D,-,D
9568,GERARDOS LANDSCAPING INC,D,-,D
772,HEATH OUTDOOR LLC,D,-,D
3950,INN ON MACKINAC INC,-,D,D
4896,WILLIS LAWN SERVICES LLC,D,-,D
4340,MPH LLC DBA MEMORIAL PARK HUNTERS,D,-,D
6562,WICHMAN LANDSCAPE & CONSTRUCTION L,D,-,D
911,HELMLINGER CO DBA KEN HELMLINGER C,D,-,D
9201,FIRST IMPRESSIONS LAWN & LANDSCAPE,D,-,D
1344,LANDSCAPES INC,D,-,D
3102,SANDER LANDSCAPING DBA LAWNSCAPES,-,D,D
9147,TOP TIER TURF AND ORNAMENTAL LLC,-,D,D
1197,SCHOENBRUNN LANDSCAPING INC,D,-,D
2005,CINGEL LANDSCAPE & DESIGN LLC,D,-,D
2688,EVERGREEN LANDSCAPE ASSO LLC,D,-,D
5130,CLAYS CLIPPERS INC,D,-,D
9255,NEBRASKA SOD COMPANY INC,D,-,D
4306,NAYLOR LANDSCAPE MANAGEMENT INC,D,-,D
597,WESTRUM DONUTS INC,-,D,D
6700,SOUTHERN DESIGN IRRIGATION LLC,D,-,D
1405,HISTORIC ARNOLDS PARK INC,D,-,D
7281,MIDWEST TURF CONTRACTORS INC,D,-,D
5846,FOUR SEASONS LANDSCAPING INC,D,-,D
2344,NORTHERN IMPROVEMENT CO,D,-,D
9721,NATURAL PONDS AND GARDENS,-,D,D
1001,GRANDVIEW LANDSCAPING INC,D,-,D
8253,MILO & SON ENTERPRISES INC,-,D,D
8787,MARROCCOS LAWN CARE & LANDSCAPING,D,-,D
3798,ASANCHEZ LANDSCAPING LLC,D,-,D
1849,J&V LAWN SERVICE LLC,D,-,D
9133,AUTUMN RIDGE LANDSCAPING INC,-,D,D
4464,BRICK AND STONE MASONS LTD,D,-,D
3683,MIDWAY MOTEL INC DBA AMERICAS BEST,D,-,D
491,KPM RACING STABLE,D,-,D
2436,MEEHAN LAWN CARE LLC,D,-,D
7762,VENTURE AGGREGATES LLC,D,-,D
9286,LEBEAU GARDENS INC,D,-,D
9329,CM S MOWING SVC INC DBA CM S A CUT,D,-,D
9184,GROUNDWORKS LANDSCAPING INC,D,-,D
5472,TORRES LAWN CARE LLC,D,-,D
3545,J M YANEZ CONSTRUCTION INC,D,-,D
3358,VAIL CHOP LLC DBA VAIL CHOPHOUSE,D,-,D
4447,STANLEY CARY INC,-,D,D
8109,RFA MEXICAN RESTAURANT INC DBA HAC,-,D,D
5190,M & M CONCRETE INC,-,D,D
8305,GARY CAPUANO RACING STABLE,D,-,D
9128,LEES LAWN SERVICE,D,-,D
8613,MANORVILLE LANDSCAPING INC,D,-,D
3654,GREENLEAF SERVICES INC,D,-,D
3423,CUSTOM LANDSCAPES INC DBA CLASSIC,D,-,D
4121,PK GROVE LP DBA COMFORT INN APPLE,D,-,D
3428,DOMINIC VIVONA COMPANY,D,-,D
4111,LAWSON LANDSCAPING DESIGN & CONSTR,-,D,D
4883,GREEN THUMB GROUNDS CARE,D,-,D
8123,PDSCO INC,D,-,D
722,CRAWFISH PALACE INC,D,-,D
3663,TLC FLORIST & GREENHOUSES INC,D,-,D
2056,GREENS & BLOOMS INC,D,-,D
4381,ORMIC CONCESSIONS INC,D,-,D
6241,GREEN THREE LANDSCAPING COMPANY,D,-,D
5718,SAN JUAN LAWN CARE,D,-,D
1690,AURORA LANDSCAPING SERVICES INC,D,-,D
1599,BELLMERS LAWN SVC & LANDSCAPING IN,D,-,D
5530,GANT CONTRACTORS INC,D,-,D
4315,DCH ENTERPRISE CORP,D,-,D
4009,SAFARI GREEN LAWN MAINTENANCE LLC,D,-,D
5354,SULO ARMAS INC,-,D,D
1616,TOWN PUMP INC DBA SHELBY COMFORT I,D,-,D
3559,THE SERVICE COMPANIES D/B/A FSS,D,-,D
714,BAYWATCH RESORT LLC,D,-,D
2479,JB VINE COMPANY,D,-,D
8864,SRS LLC DBA SEA ROSE SUITES,D,-,D
9796,NEW EDGE TRAINING STABLE LLC,D,-,D
2825,PROFESSIONAL RECREATION MGMT INC,D,-,D
479,SOUTHWEST GREENS OF COLORADO LLC,D,-,D
1425,THE LAWN BARBER CORPORATION,D,-,D
2299,CENTRAL INDIANA HYDROSEEDING LLC,D,-,D
1547,MEYER B&B GR INC DBA CAPTAINS HOUS,D,-,D
6668,GARCIA PLASTERING LLC,D,-,D
7420,TEXAS CONCRETE CRAFTSMEN LTD,D,-,D
3262,SAIR CONCRETE LLC,-,D,D
5615,RAMOS REFORESTATION INC,-,D,D
6248,BROOKWAY STABLES,D,-,D
9233,DEBARGES CRAWFISH CRAZY CAJUN ROSI,D,-,D
6084,PALM BEACH COUNTRY CLUB INC,D,-,D
7192,MARINER SANDS COUNTRY CLUB INC,D,-,D
6667,PIZZA ON A STICK INC,D,-,D
6646,TELLURIDE RENTALS,D,-,D
4279,WC INC DBA PENTAGOET INN,-,D,D
4705,ST ANTHONYS MONASTERY ASSOCIATION,D,-,D
2319,LA BROCHU INC,D,-,D
9722,FAULKNER LANDSCAPING & NURSERY INC,-,D,D
7513,SCHAUM PROPERTIES LLC,-,D,D
2896,MIKES CLAM SHACK INC,-,D,D
532,ANDREWS GUNITE CO INC DBA POOLS BY,D,-,D
8708,VAN DERECK ENTERPRISE INC,-,D,D
5476,MACAULEY BROTHERS INC,D,-,D
6174,SHIPS INN NANTUCKET INCORP,-,D,D
2954,HOLIDAY HILL MOTOR INN INC,-,D,D
3746,MICHAEL S FERRARO,D,-,D
8457,CONGDONS DONUTS INC DBA CONGDONS D,-,D,D
7185,ROBERT RIBAUDO RACING STABLE,D,-,D
1652,J TORTORELLA SWIMMING POOLS INC,D,-,D
9168,MONTAUK MANOR,D,-,D
1142,SWIMMING POOLS BY JACK ANTHONY,D,-,D
6728,NATURES GUARDIAN INC,D,-,D
7768,MARK MOSKOWITZ LANDSCAPE DESIGN IN,D,-,D
7481,JLC LANDSCAPE SERVICES INC,D,-,D
1671,REGENT HOSPITALITY LLC DBA COMFORT,D,-,D
1275,CHIPPEWA STONE LLC,D,-,D
2191,NORTHEAST MESA LLC,D,-,D
9958,SUNDOWN LAWN AND LANDSCAPE,-,D,D
2490,BOLLMAN LANDSCAPE MANAGEMENT LLC,D,-,D
1533,STONEY BROOK LANDSCAPING LLC,D,-,D
7479,MAIN STREET INN AND SUITES,D,-,D
394,ROSALES LANDSCAPE INC,D,-,D
6515,FOUR SEASONS LANDSCAPE MANAGEMENT,D,-,D
9054,PONY EXPRESS MOTEL LLC,D,-,D
5077,WESTMOOR CLUB MGT LLC DBA THE WEST,D,-,D
7916,GRANDSCAPES LANDSCAPE CONSTRUCTION,D,-,D
9754,DORIN LANDSCAPING INC,D,-,D
4668,CS DEVELOPMENT INC D/B/A HARBOR LI,-,D,D
9054,ELITE SYNTHETIC SURFACES INC,D,-,D
4248,EXPRESS LAWN SERVICES OF TULSA LLC,-,D,D
485,LOPEZ CONSTRUCTION LLC,D,-,D
8462,MCGOVERNS PROPERTY MAINTENANCE LLC,D,-,D
3941,NEW JERSEY GROUNDSKEEPING LLC,D,-,D
2898,KY SOUTH CENTRAL POOLS LLC,D,-,D
5223,LILYS CONSTRUCTION LLC,D,-,D
873,SAI SRADHA CORP DBA SKAKET BEACH M,D,-,D
6997,CEDERA LANDSCAPES LLC,D,-,D
1688,STONEHENGE STABLES LLC,D,-,D
4019,TRI STATE GUNITE OF VIRGINIA L P,D,-,D
3604,CHAD ACCIPITER LLC DBA SOUTHERN MD,D,-,D
972,RICKS LAWN AND LANDSCAPING LLC,-,D,D
5636,SCOTT S MOWING LLC,D,-,D
3552,TNT LAWN SERVICES LLC,D,-,D
7702,DAKOTA STORAGE BUILDINGS LLC,D,-,D
5641,GIEJDA LANDSCAPE CONTRACTORS INC,D,-,D
3424,HUDSON LANDSCAPING CO INC,D,-,D
7862,STRETCHS PROF CLEANING SERVICE INC,D,-,D
6032,KINDERGAN LANDSCAPING LLC,-,D,D
8044,ISOD LAWN & GARDEN CARE INC,-,D,D
4313,TOMASCO LANDSCAPING INC,D,-,D
3142,DANALU INC,D,-,D
4632,MIKE SPAEDER LANDSCAPING INC,D,-,D
4232,HOPES RACING STABLE,D,-,D
3480,MONTOUR HEIGHTS COUNTRY CLUB,D,-,D
3276,SCHMIDT LANDSCAPING INC,D,-,D
569,TFG HYANNIS HOSPITALITY LLC,-,D,D
413,TERPENING CONSTRUCTION INC,-,D,D
2341,PAMET RESTAURANT GROUP INC,D,-,D
3706,ELCS LAWN & LANDSCAPE LLC DBA CARR,-,D,D
8502,KI VENTURES LLC DBA KELLEYS ISLAND,D,-,D
1582,JDC CONSTRUCTION CO,D,-,D
738,MICHELE ANDREOLI LANDSCAPING INC,D,-,D
5440,MOTU ENTERPRISES,D,-,D
9918,GREENMASTER LANDSCAPE CONTRACTORS,D,-,D
6616,WILDCAT LAWN & LANDSCAPE LLC,D,-,D
8970,KUTSCH LANDSCAPING LLC,D,-,D
9480,FOREVER GREEN SPRINKLER INC,D,-,D
7515,AQUALAWN & LANDSCAPE INC,D,-,D
9007,BERICH MASONRY MOUNTAIN DIV,D,-,D
8460,20/20 LANDSCAPING & TREE SVC LLC,D,-,D
9424,ZAVALA LAWN CARE INC,D,-,D
7304,NORTH BY NORTHWEST LAWNS,-,D,D
4935,DOS AMIGOS LANDSCAPING,D,-,D
4238,FOUR STAR LAWNS LLC,-,D,D
6211,PAPESCAPES LLC,D,-,D
810,MONIN CONSTRUCTION LLC,-,D,D
337,ZAVALAS LANDSCAPE & LAWN CARE INC,D,-,D
4703,SAEM LLC DBA RODEWAY INN,D,-,D
7124,HAMBLETON LAWN CARE & MAINTENANCE,D,-,D
2933,ACADIANA LANDSCAPE MATERIALS,D,-,D
9909,LOPEZ MASONRY,D,-,D
2578,G3 CONTRACTING INC,D,-,D
9297,MAGNOLIA CUSTOM LAWN CARE LLC,D,-,D
8904,PRO-LAWN CARE SERVICES LLC,D,-,D
1930,THE WHALEY PLACE LLC,D,-,D
4926,WHISPERING CREEK LLC,D,-,D
96,CREDE LAWN SERVICE LLC,D,-,D
3609,BERTA S COMPLETE LAWN SVC INC,D,-,D
4783,NAVEGANTE SALVAJE COMPANY,-,D,D
2872,SWAN CREEK FAMILY CORP,D,-,D
8439,FAIRMAN BUILDING COMPONENTS LLC,D,-,D
1048,STINGAREE OPERATING LLC,-,D,D
3695,MIKE N CIRINO AND SON INC,D,-,D
1304,BAKO LANDSCAPING INC,D,-,D
422,BRIAN KYLES CONSTRUCTION INC DBA B,D,-,D
5511,GRACE BROTHERS LANDSCAPING INC,D,-,D
1124,NATURESCAPE OF SOLON INC,D,-,D
1566,J A G LAWN MAINTENANCE & LANDSCAPI,D,-,D
833,LUCHETTE CONCRETE INC,D,-,D
9903,BROTHERS GRIMM GRASS COMPANY INC,-,D,D
850,VYTAS D DAUTARTAS DBA CHESTERLAND,D,-,D
4101,ESTES GROUNDS MAINTENANCE INC,D,-,D
8994,KATTNER ENTERPRISES LLC,D,-,D
3516,EDENSCAPE INC,D,-,D
3728,PATCH LANDSCAPING & SNOW REMOVAL I,D,-,D
9495,CHICO S LAWN SVC INC,D,-,D
9200,SAGAMORE WINTER SVCS LLC,D,-,D
1827,ISLAND SLICE PIZZERIA INC,-,D,D
9135,WEQUETONSING GOLF CLUB,D,-,D
6986,THIELEN TURF IRRIGATION INC,-,D,D
7656,UNITED STEAKS OF AMERICA CORP D/B/,-,D,D
4420,SUNRISE MAINTENANCE & LANDSCAPING,D,-,D
8088,OTTEN BROTHERS NURSERY & LANDSCAPI,D,-,D
8741,LOWELL RUSSELL CONCRETE INC,D,-,D
2160,DESIGNING NATURE INC,D,-,D
5859,JOHNS DRIVE IN,D,-,D
9892,WICKS CONSTRUCTION INC,D,-,D
7707,TURF PLUS LLC,D,-,D
9377,PRO LAWNS INC,-,D,D
5500,GDS PROPERTIES,D,-,D
4540,BLUBAUGH ENTERPRISES INC,D,-,D
7041,MIKES LAWN SERVICE,D,-,D
4397,LAWNS UNLIMITED,-,D,D
6268,AFFORDABLE SPRINKLER & LANDSCAPE L,D,-,D
2322,LANDESIGN LLC,D,-,D
2958,NEW HAMPSHIRE PREMIER SOCCER LLC D,D,-,D
7211,360 LAWN SOLUTIONS LLC,D,-,D
7006,R&R LANDSCAPING & MAINTENANCE DBA,D,-,D
52,PANTALEONS FARM INC,D,-,D
5335,TRINITY123.COM,D,-,D
4528,GREENSAPCE LAWN SVC LLC,D,-,D
8529,RANCHERS LANDSCAPING LLC,D,-,D
2757,A&S TREE SERVICE,D,-,D
7530,AGUILAR BROTHERS INC,-,D,D
9193,J&F BORING LLC,-,D,D
5637,D 7 CONSTRUCTION LLC,D,-,D
5658,GROUNDSPRO LLC,-,D,D
8200,LANDSHARK LANDSCAPE LLC,D,-,D
8963,ROY IDEAL LANDSCAPING INC,D,-,D
5279,PRO TEC ROOFING,D,-,D
4519,BEST WESTERN PLAINS,D,-,D
